state,x,y
Arunachal Pradesh, 237.0,166.0
Assam, 203.0, 114.0
Nagaland, 241.0, 111.0
Manipur, 228.0, 78.0
Mizoram, 211.0, 48.0
Tripura, 162.0, 52.0
Meghalaya, 163.0, 91.0
Sikkim, 115.0, 135.0
West Bengal, 109.0, 33.0
Bihar, 67.0, 93.0
Uttar Pradesh, -57.0, 124.0
Jharkhand, 46.0, 42.0
Uttarakhand, -68.0, 187.0
Odisha, 30.0, -29.0
Chhattisgarh, -12.0, -5.0
Madhya Pradesh, -121.0, 28.0
Gujarat, -229.0, 31.0
Rajasthan, -219.0, 108.0
Haryana, -123.0, 164.0
Punjab, -148.0, 205.0
Himachal Pradesh, -107.0, 227.0
Jammu and Kashmir, -129.0, 276.0
Maharashtra, -165.0, -55.0
Telangana, -70.0, -87.0
Andhra Pradesh, -86.0, -151.0
Karnataka, -157.0, -164.0
Goa, -201.0, -142.0
Tamil Nadu, -82.0, -239.0
Kerala, -155.0, -251.0